object,original_id,date_created,resource_type,specific_resource_type,specific_type,stream_type,object_content,from_id,from_username,name,content,final_sentiment,from_display_picture,media_link,link,bio,reply_to_original_id,reply_to_user_id,retweet_from_original_id,retweet_from_user_id,mentioned,audience,virality,applause,talk,timezone,location,gender,interest,score,negara,kota,provinsi,lang,userlang,,,,,,,,,,
Telkomsel,'2111411552246941_2111412538913509,01/12/2018 17:36,'social_media,'facebook,'comment,'account,'157697287618387,'157697287618387,'Telkomsel,'Telkomsel,'Hai, Mbak Syafitrah. Silakan infokan pertanyaan atau keluhan seputar produk dan layanan Telkomsel agar bisa diberi solusi yang tepat. Terima kasih :) -Shaby,y,'https://graph.facebook.com/157697287618387/picture,[],'https://facebook.com/2111411552246941_2111412538913509,,'157697287618387_2111411552246941,'157697287618387,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,
Telkomsel,'2111408835580546_2111412638913499,01/12/2018 17:36,'social_media,'facebook,'comment,'account,'157697287618387,'157697287618387,'Telkomsel,'Telkomsel,'Selamat sore, Mas Ones. Mengenai informasi pengisian pulsa mendapat bonus 5 GB melalui GraPARI. Saya bantu cek terlebih dahulu, silakan tunggu. Terima kasih :) -Mike,y,'https://graph.facebook.com/157697287618387/picture,[],'https://facebook.com/2111408835580546_2111412638913499,,'157697287618387_2111408835580546,'157697287618387,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,
Telkomsel,'1068815804056068098,01/12/2018 17:35,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@Bimo72217745  Hai, Mas Bimo. Maaf atas ketidaknyamanannya. Mengenai keluhan koneksi lambat, infokan via DM data be… https://t.co/EpNEqUZUCv,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068815804056068098,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068814790045261824,'1059312618609897472,,,"[{""id"":""\\""1059312618609897472\\"""",""name"":""\\""Bimo72217745\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,,
Telkomsel,'1068815628503371777,01/12/2018 17:34,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@glory_queen [1] Sore, Mbak Tiara. Mohon maaf untuk ketidaknyamanan yang dialami. Mengenai kendala akses data, info… https://t.co/86diawFVcf,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068815628503371777,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068814738405056512,'203528397,,,"[{""id"":""\\""203528397\\"""",""name"":""\\""glory_queen\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,,
Telkomsel,'1068815609540952064,01/12/2018 17:34,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@glory_queen [2] nomor, tipe HP, lokasi detail dan  keterangan sinyal didapat agar dibantu pengecekan lebih lanjut… https://t.co/mNxmndvPKH,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068815609540952064,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068814738405056512,'203528397,,,"[{""id"":""\\""203528397\\"""",""name"":""\\""glory_queen\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,,
Telkomsel,'2111405512247545_2111410978913665,01/12/2018 17:34,'social_media,'facebook,'comment,'account,'157697287618387,'157697287618387,'Telkomsel,'Telkomsel,'Baik, Mas Diexzel. Silakan infokan data yang diminta sebelumnya via inbox agar kerahasiaan data terjaga dan dapat dibantu cek. -Shaby,y,'https://graph.facebook.com/157697287618387/picture,[],'https://facebook.com/2111405512247545_2111410978913665,,'157697287618387_2111405512247545,'157697287618387,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,
Telkomsel,'2111393058915457_2111410238913739,01/12/2018 17:33,'social_media,'facebook,'comment,'account,'157697287618387,'157697287618387,'Telkomsel,'Telkomsel,'Baik, Mas Bar. Apabila berkenan infokan data melalui layanan Comment Facebook Telkomsel, silakan infokan data yang diminta sebelumnya agar memudahkan proses pengecekan. Terima kasih :) -Chintia,y,'https://graph.facebook.com/157697287618387/picture,[],'https://facebook.com/2111393058915457_2111410238913739,,'157697287618387_2111393058915457,'157697287618387,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,
Telkomsel,'2111405525580877_2111410112247085,01/12/2018 17:33,'social_media,'facebook,'comment,'account,'157697287618387,'157697287618387,'Telkomsel,'Telkomsel,'Selamat sore, Mas Gasim. Notifikasi tersebut merupakan penawaran paket promo. Jika tertarik, silakan pilih paket promo sesuai penawaran yang didapatkan. Terima kasih :) -Dewa,y,'https://graph.facebook.com/157697287618387/picture,[],'https://facebook.com/2111405525580877_2111410112247085,,'157697287618387_2111405525580877,'157697287618387,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,
Telkomsel,'2111408345580595_2111409998913763,01/12/2018 17:33,'social_media,'facebook,'comment,'account,'157697287618387,'157697287618387,'Telkomsel,'Telkomsel,'Selamat sore, Mas Gasim. Untuk pengecekan pulsa dan kuota bisa melalui dial di *888#, aplikasi MyTelkomsel atau bisa langsung menyapa kami melalui inbox. Nanti akan di bantu oleh Veronika virtual assistant dan ikuti langkah-langkah yang diberikan :) -Ario,y,'https://graph.facebook.com/157697287618387/picture,[],'https://facebook.com/2111408345580595_2111409998913763,,'157697287618387_2111408345580595,'157697287618387,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,
Telkomsel,'1068815153972428806,01/12/2018 17:32,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@mayaaluth  Hai, Mbak Maya. Maaf atas ketidaknyamanannya. Mengenai keluhan internet, infokan juga lokasi, jaringan… https://t.co/RyusxZBsFy,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068815153972428806,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068813497063038976,'1180903290,,,"[{""id"":""\\""1180903290\\"""",""name"":""\\""mayaaluth\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,
Telkomsel,'2111362628918500_2111409708913792,01/12/2018 17:32,'social_media,'facebook,'comment,'account,'157697287618387,'157697287618387,'Telkomsel,'Telkomsel,'Sama-sama, Mas Adam. Apakah ada yang bisa dibantu kembali seputar produk dan layanan Telkomsel? :) -Shaby,y,'https://graph.facebook.com/157697287618387/picture,[],'https://facebook.com/2111362628918500_2111409708913792,,'157697287618387_2111362628918500,'157697287618387,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,
Telkomsel,'1068814763805667328,01/12/2018 17:31,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@siMPAK_ Baik, Mas Martinus. Silakan lanjutkan interaksi via DM agar privasi terjaga dan tidak terkendala karakter. Terima kasih :) -Albi,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068814763805667328,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068813660250824704,'214764929,,,"[{""id"":""\\""214764929\\"""",""name"":""\\""siMPAK_\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,,,
Telkomsel,'2111370998917663_2111408808913882,01/12/2018 17:31,'social_media,'facebook,'comment,'account,'157697287618387,'157697287618387,'Telkomsel,'Telkomsel,'Baik, silakan ketik kontak live agent di inbox agar terhubung dengan CS kami. Terima kasih. -Ario,y,'https://graph.facebook.com/157697287618387/picture,[],'https://facebook.com/2111370998917663_2111408808913882,,'157697287618387_2111370998917663,'157697287618387,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,
Telkomsel,'2111405965580833_2111408832247213,01/12/2018 17:31,'social_media,'facebook,'comment,'account,'157697287618387,'157697287618387,'Telkomsel,'Telkomsel,'Selamat sore, Mas Gasim. Mohon maaf atas ketidaknyamanan yang dialami. Terkait cek kuota dapat melalui aplikasi MyTelkomsel. Terima kasih :) -Chintia,y,'https://graph.facebook.com/157697287618387/picture,[],'https://facebook.com/2111405965580833_2111408832247213,,'157697287618387_2111405965580833,'157697287618387,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,
Telkomsel,'1068814527112695808,01/12/2018 17:30,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@dickyalwan05 Baik, Mas Dicky untuk akses data internet lokasi Monas Jakarta bisa digunakan selama nomor aktif dan… https://t.co/jdCfs2sbmd,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068814527112695808,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068813283648368640,'630206881,,,"[{""id"":""\\""630206881\\"""",""name"":""\\""dickyalwan05\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,,,
Telkomsel,'2111405512247545_2111407402247356,01/12/2018 17:30,'social_media,'facebook,'comment,'account,'157697287618387,'157697287618387,'Telkomsel,'Telkomsel,'Hai, Mas Diexzel. Mohon maaf atas ketidaknyamanan yang dialami. Mengenai keluhan pulsa tiba-tiba berkurang, silakan infokan data berikut via inbox agar kerahasiaan data terjaga dan dapat dibantu koordinasi ke tim terkait: 1. Nomor HP, 2. Waktu tanggal kejadian, dan 3. Pulsa awal-akhir.  Ketika sudah mengirimkan data via inbox, akan tersambung ke Veronika Personal Assistant. Silakan pilih kontak live agent agar bisa terhubung dengan Officer kembali. Terima kasih :) -Shaby,y,'https://graph.facebook.com/157697287618387/picture,[],'https://facebook.com/2111405512247545_2111407402247356,,'157697287618387_2111405512247545,'157697287618387,,,[],0,0,0,0,,,,[],0,,,,,,,,,,
Telkomsel,'1068814251488247808,01/12/2018 17:29,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@Ambros32 Baik, Mas Geri. Silakan aktivasi paket lain yang lebih menarik di *363# atau bisa melalui aplikasi MyTelkomsel. Tks. -Agan,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068814251488247808,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068813276513890304,'195221880,,,"[{""id"":""\\""195221880\\"""",""name"":""\\""Ambros32\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,,,
Telkomsel,'2111393058915457_2111406112247485,01/12/2018 17:28,'social_media,'facebook,'comment,'account,'157697287618387,'157697287618387,'Telkomsel,'Telkomsel,'Baik, Mas Bar. Silakan infokan terlebih dahulu data yang diminta sebelumnya via inbox agar dibantu pengecekan serta privasi terjaga. Terima kasih :) -Dewa,y,'https://graph.facebook.com/157697287618387/picture,[],'https://facebook.com/2111393058915457_2111406112247485,,'157697287618387_2111393058915457,'157697287618387,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,
Telkomsel,'2111362628918500_2111406228914140,01/12/2018 17:28,'social_media,'facebook,'comment,'account,'157697287618387,'157697287618387,'Telkomsel,'Telkomsel,'Terima kasih telah menunggu. Saya cek data validasi sudah sesuai, silakan restart HP dan menunggu 1x24 jam terlebih dahulu. Apabila masih berkendala konfirmasi kembali :) -Chintia,y,'https://graph.facebook.com/157697287618387/picture,[],'https://facebook.com/2111362628918500_2111406228914140,,'157697287618387_2111362628918500,'157697287618387,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,
Telkomsel,'1068813601308270593,01/12/2018 17:26,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@aguspr_1 Baik, silakan infokan data yang sudah disampaikan secara lengkap via DM agar bisa dibantu cek lebih lanjut. Terima kasih :) -Evan,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068813601308270593,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068812931490430976,'189873788,,,"[{""id"":""\\""189873788\\"""",""name"":""\\""aguspr_1\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,,,
Telkomsel,'1068813404922503169,01/12/2018 17:25,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@siMPAK_ Baik, Mas Martinus. Silakan ditunggu konfirmasi selanjutnya via DM agar privasi terjaga. Tks. -Agan,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068813404922503169,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068812838645317634,'214764929,,,"[{""id"":""\\""214764929\\"""",""name"":""\\""siMPAK_\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,,,
Telkomsel,'1068812954416508928,01/12/2018 17:24,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@ridhoomajid [2] Apabila ada yang ingin ditanyakan seputar produk dan layanan Telkomsel, silakan konfirmasi kembali… https://t.co/u7vPyV4voc,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068812954416508928,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068812280647757824,'739804821255921664,,,"[{""id"":""\\""739804821255921664\\"""",""name"":""\\""ridhoomajid\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,,,
Telkomsel,'1068812844689313792,01/12/2018 17:23,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@Ambros32 Hai, Mas Geri. Apakah yang dimaksud paket  Weekend Deal 25GB 7hari? Jika iya paket tsb merupakan paket pr… https://t.co/6zATdqfH1U,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068812844689313792,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068811369405763584,'195221880,,,"[{""id"":""\\""195221880\\"""",""name"":""\\""Ambros32\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,,,
Telkomsel,'1068812742692204545,01/12/2018 17:23,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@dilaapriliaf [2] https://t.co/TQOtR8EsXb,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068812742692204545,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068811366356606976,'125605985,,,"[{""id"":""\\""125605985\\"""",""name"":""\\""dilaapriliaf\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'und,'en,,,,,,,,,
Telkomsel,'1068812926381842435,01/12/2018 17:23,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@ridhoomajid [1] Baik, mohon maaf atas kesalahan nama panggilan yang sudah disampaikan Mbak Yulfiah. Terima kasih t… https://t.co/D9lkf8hTW3,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068812926381842435,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068812280647757824,'739804821255921664,,,"[{""id"":""\\""739804821255921664\\"""",""name"":""\\""ridhoomajid\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,,,
Telkomsel,'2111362628918500_2111402275581202,01/12/2018 17:23,'social_media,'facebook,'comment,'account,'157697287618387,'157697287618387,'Telkomsel,'Telkomsel,'Terima kasih atas data yang diberikan. Saya bantu cek dahulu, mohon ditunggu :) -Chintia,y,'https://graph.facebook.com/157697287618387/picture,[],'https://facebook.com/2111362628918500_2111402275581202,,'157697287618387_2111362628918500,'157697287618387,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,
Telkomsel,'1068812624534503430,01/12/2018 17:22,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@dickyalwan05 Baik, Mas Dicky untuk akses data internet lokasi Monas Jakarta masih bisa digunakan. Bisa saya bantu… https://t.co/JDfdnyv0Mo,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068812624534503430,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068811849192345600,'630206881,,,"[{""id"":""\\""630206881\\"""",""name"":""\\""dickyalwan05\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,,,
Telkomsel,'1068812628594589696,01/12/2018 17:22,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@dilaapriliaf [1] Sore, Mbak Dilla. Maaf atas ketidaknyamanan yang dialami. Terkait sinyal tidak stabil, infokan da… https://t.co/wu7KSAKzNJ,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068812628594589696,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068811366356606976,'125605985,,,"[{""id"":""\\""125605985\\"""",""name"":""\\""dilaapriliaf\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,,
Telkomsel,'1068812681363111936,01/12/2018 17:22,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@hiyumenorg Hai, mengenai keluhan gangguan, silakan infokan data berikut via DM agar data terjaga: 1. Nomor HP, 2.… https://t.co/VrEnLXGhJt,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068812681363111936,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068810897269776384,'536786600,,,"[{""id"":""\\""536786600\\"""",""name"":""\\""hiyumenorg\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,
Telkomsel,'1068812659972173824,01/12/2018 17:22,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@siMPAK_ Terima kasih atas data yg diberikan. Interaksi selanjutnya via DM. Tks. –Beny,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068812659972173824,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068811915177058305,'214764929,,,"[{""id"":""\\""214764929\\"""",""name"":""\\""siMPAK_\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,,,,
Telkomsel,'2111395988915164_2111401388914624,01/12/2018 17:22,'social_media,'facebook,'comment,'account,'157697287618387,'157697287618387,'Telkomsel,'Telkomsel,'Baik, Mas Fikry. Silakan infokan data yang diminta sebelumnya via inbox agar kerahasiaan data terjaga dan dapat dibantu cek. Terima kasih. -Shaby,y,'https://graph.facebook.com/157697287618387/picture,[],'https://facebook.com/2111395988915164_2111401388914624,,'157697287618387_2111395988915164,'157697287618387,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,
Telkomsel,'2111346588920104_2111401702247926,01/12/2018 17:22,'social_media,'facebook,'comment,'account,'157697287618387,'157697287618387,'Telkomsel,'Telkomsel,'Terima kasih telah menunggu. Saya cek nomor 08534228xxx berhasil menerima transfer pulsa Rp20.000 sebanyak 3 kali pada tanggal 29 November 2018 :) -Dewa,y,'https://graph.facebook.com/157697287618387/picture,[],'https://facebook.com/2111346588920104_2111401702247926,,'157697287618387_2111346588920104,'157697287618387,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,,
Telkomsel,'1068812317268238338,01/12/2018 17:21,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@aguspr_1 Baik, Mas Agus. Mengenai Silakan infokan data yg diminta melalui DM agar bisa saya bantu lebih lanjut. Terima kasih :) -Beny,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068812317268238338,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068811581696303104,'189873788,,,"[{""id"":""\\""189873788\\"""",""name"":""\\""aguspr_1\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,,,
Telkomsel,'1068812109432012800,01/12/2018 17:20,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@siMPAK_ [2] https://t.co/TQOtR8EsXb,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068812109432012800,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068810479001161728,'214764929,,,"[{""id"":""\\""214764929\\"""",""name"":""\\""siMPAK_\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'und,'en,,,,,,,,,
Telkomsel,'1068811694669946880,01/12/2018 17:19,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@siMPAK_ [1] Sore, Mas Martinus. Maaf atas ketidaknyamanan yang dialami. Terkait tidak isi ulang pulsa, panggilan k… https://t.co/7NSvqRCND1,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068811694669946880,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068810479001161728,'214764929,,,"[{""id"":""\\""214764929\\"""",""name"":""\\""siMPAK_\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,,
Telkomsel,'1068811627665879040,01/12/2018 17:18,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@Rachman_euy Sore, Mas Hasan. Untuk penukaran Telkomsel POIN, dapat ditukar menjadi merchant makanan yang tersedia… https://t.co/PPjagdlz1D,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068811627665879040,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068810401746317312,'462999725,,,"[{""id"":""\\""462999725\\"""",""name"":""\\""Rachman_euy\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,,
Telkomsel,'2111385885582841_2111398325581597,01/12/2018 17:18,'social_media,'facebook,'comment,'account,'157697287618387,'157697287618387,'Telkomsel,'Telkomsel,'Baik, Mas Virgiawan. Untuk akses aplikasi MAXstream, silakan download aplikasi MAXstream di playstore. Jika memiliki paket VideoMAX ketika streaming di aplikasi MAXstream maka kuota VideoMAX yang akan digunakan dan untuk akses palikasi tersebut dibutuhkan kuota regular. Info lengkap MAXstream cek link di https://www.telkomsel.com/en/maxstream. -Ario,y,'https://graph.facebook.com/157697287618387/picture,[],'https://facebook.com/2111385885582841_2111398325581597,,'157697287618387_2111385885582841,'157697287618387,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,
Telkomsel,'2111395988915164_2111398065581623,01/12/2018 17:18,'social_media,'facebook,'comment,'account,'157697287618387,'157697287618387,'Telkomsel,'Telkomsel,'Hai, Mas Fikry. Mohon maaf atas ketidaknyamanan yang dialami. Mengenai keluhan jaringan, silakan update lokasi dengan cara: A. Android : Switch  manual network  pada menu mobile networks, pilih operator lain terlebih dahulu, kemudian pilih Telkomsel. B. iOS : Pilih settings - general - reset - reset network setting. Disarankan menggunakan jaringan WCDMA (3G) saja. Jika masih berkendala, infokan data berikut via inbox agar kerahasiaan data terjaga dan dapat dibantu cek: 1. Nomor HP, 2. Waktu tanggal kejadian, 3. Lokasi detail,  4. Nomor Telkomsel yang berkendala sama, serta 5. Capture keterangan sinyal yang didapat. Ketika sudah mengirimkan data via inbox, akan tersambung ke Veronika Personal Assistant. Silakan pilih kontak live agent agar bisa terhubung dengan Officer kembali. Terima kasih :) -Shaby,y,'https://graph.facebook.com/157697287618387/picture,[],'https://facebook.com/2111395988915164_2111398065581623,,'157697287618387_2111395988915164,'157697287618387,,,[],0,0,0,0,,,,[],0,,,,,
Telkomsel,'1068811384496869378,01/12/2018 17:17,'social_media,'twitter,'status,'account,'255409050,'255409050,'Telkomsel,'Telkomsel,'@dickyalwan05 Hai, Mas Dicky. Untuk melakukan akses internet, pastikan memiliki kuota agar akses internet lebih hem… https://t.co/P5mK4tormK,y,'http://pbs.twimg.com/profile_images/975350015064354816/hVH80E7s_normal.jpg,[],'https://twitter.com/statuses/1068811384496869378,'Official Twitter Account of PT Telekomunikasi Selular (TELKOMSEL). Follow us on: https://t.co/blaYmUcvJD, & https://t.co/8ykyxpTnT6.,'1068810839795200000,'630206881,,,"[{""id"":""\\""630206881\\"""",""name"":""\\""dickyalwan05\\""""}]",1374442,0,0,0,,'Indonesia,,"[""technology"",""economy"",""health""]",0,,,,'in,'en,,,,,,,
