object,original_id,date_created,resource_type,specific_resource_type,specific_type,stream_type,object_content,from_id,from_username,name,content,final_sentiment,from_display_picture,media_link,link,bio,reply_to_original_id,reply_to_user_id,retweet_from_original_id,retweet_from_user_id,mentioned,audience,virality,applause,talk,timezone,location,gender,interest,score,negara,kota,provinsi,lang,userlang,,,,,,,,,,,,,
Ridwan Kamil,'1292108484274303_2087434178178641,20/01/2019 3:28,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Itu Bukti beliau ingin memajukan  memperbaiki daerahnya. Mantap Pak Ridwan Kamil. #01,2,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292108484274303_2087434178178641,,'163237587161404_1292108484274303,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,
'informa,'1087198856251494401,21/01/2019 11.03,'social_media,'twitter,'status,'keyword,'informa,'1062530998544490496,'pinangrantitown,'pinangrantitownhouse,'Jangan sampai kehabisan karna hanya tersisa 2 unit terakhir Bagi pembeli unit ke 8 akan berkesempatan untuk mendapatkan Voucher Promo Informa senilai 50 JUTA!!! HUBUNGI KAMI DI : 0812-1089-0677 #bangunrumah #rumahnyaman #rumahidaman #rumahasri #townhouse #garden #kpr #cicilan https://t.co/xgbAuLYLkp,2,'http://pbs.twimg.com/profile_images/1062532069136334848/pum-Q37I_normal.jpg,"[""http://pbs.twimg.com/media/DxaBlJeU0AAxKqW.jpg""]",'https://twitter.com/statuses/1087198856251494401,'Pinang Ranti Heights. Hunian dengan view alam yang ASRI di wilayah Jakarta Timur. Rasakan sensasi nya untuk melepas penat dan kembali fresh dalam sekejap.,,,,,[],0,0,0,0,,,'Jakarta Capital Region,,"[""travel"",""art"",""health""]",0,,,,'in,'id,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_443564402848923,20/01/2019 9:44,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Jangan spt Gubernur nganu. Gak jelas programnya. Mantap Kang Emil. Tetap JABAR nomor 1,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_443564402848923,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
'PLTA,'1069641151349571585,04/12/2018 0:14,'social_media,'twitter,'status,'keyword,'PLTA,'1031767427153985536,'NicoAdi26615377,'Nico Aditya,'Juga ada rencana pembangunan 19 PLTA berkekuatan 10. 000 MW. Guna merealisasikan proyek ambisius ini #01IndonesiaMaju #01JokowiLagi #2019TetapJokowi #4TahunJokowi #BikinIndonesiaMaju #IndonesiaMaju #Jokowi2Periode #JokowiLagi #KerjaKita,2,'http://pbs.twimg.com/profile_images/1031768933387264000/S2yXnf7U_normal.jpg,[],'https://twitter.com/statuses/1069641151349571585,'Jangan menyerah meraih mimpi,,,,,[],3,0,0,0,,'Jakarta Capital Region,'male,"[""technology"",""education""]",0,,,,'in,'en,,,,,,,,,,,,,
Ridwan Kamil,'1293155694169582_1293209994164152,20/01/2019 21:42,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Kan Kang Emil sendiri yg berkehendak jadi pejabat publik dan punya janji2 ke publik...jangan kendor tetap semangat �?,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1293155694169582_1293209994164152,,'163237587161404_1293155694169582,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_1968614513193316,20/01/2019 1:20,'social_media,'facebook,'comment,'account,'163237587161404,,,,'kang emil mantap...,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_1968614513193316,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_109689450130646,20/01/2019 15:03,'social_media,'facebook,'comment,'account,'163237587161404,,,,'kang emil mantap..saya pun masih mantap 02,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_109689450130646,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1293155694169582_1293159527502532,20/01/2019 20:38,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Kang emil mantul😊,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1293155694169582_1293159527502532,,'163237587161404_1293155694169582,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1293155694169582_1128115740696507,20/01/2019 23:39,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Kang RamDhan mantap,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1293155694169582_1128115740696507,,'163237587161404_1293155694169582,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
'bandung,'1086962094296059904,20/01/2019 19:22,'social_media,'twitter,'status,'keyword,'bandung,'212839968,'ongmynyel,'miy✨,'Kangen bandung,2,'http://pbs.twimg.com/profile_images/1085735879702863872/QkDi-X7U_normal.jpg,[],'https://twitter.com/statuses/1086962094296059904,'he's an art #옹성우 #강다니엘,,,,,[],519,0,0,0,,,'녤옹 rps,,"[""art""]",0,,,,'in,'en,,,,,,,,,,,,
'bandung,'1087025508565413888,20/01/2019 23:34,'social_media,'twitter,'status,'keyword,'bandung,'251160791,'Billy_Sonara,'Billy Sonara'R,'Kangen digigit nyamuk  di Bandung hampir engga ada nyamuk.,2,2,'http://pbs.twimg.com/profile_images/1086690425065197568/oet2rKUK_normal.jpg,[],'https://twitter.com/statuses/1087025508565413888,'billysonara@gmail.com || Follow me on Instagram! Username: billysonara_,,,,,[],175,0,0,0,,,'Indonesia,'male,"[""technology""]",0,,,,'in,'en,,,,,,,,,,,
'bandung,'1086970369431330822,20/01/2019 19:55,'social_media,'twitter,'status,'keyword,'bandung,'212491671,'naurafad,'nf,'kangen juga sama bandung..........,2,'http://pbs.twimg.com/profile_images/1077523765486006272/UjB3FxOQ_normal.jpg,[],'https://twitter.com/statuses/1086970369431330822,'all we do is think about the feelings that we hide,,,,,[],1163,0,0,0,,,'Jakarta Timur, DKI Jakarta,,[],0,'Indonesia,'Jakarta Timur,'DKI Jakarta,'in,'en,,,,,,,,,,,
Ridwan Kamil,'1293155694169582_1293228754162276,20/01/2019 22:09,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Keren kang emil semoga sehat selalu  semoga akang pindah haluan pilih PAS PASti leuwih mantep kang.…,2,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1293155694169582_1293228754162276,,'163237587161404_1293155694169582,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_1170383289790744,20/01/2019 13:20,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Keren kang Emil  Jabar Juara + 2 periode utk 01 ☺😉�? #Mantul#,2,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_1170383289790744,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_101174280950578,20/01/2019 17:31,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Ko mantapp yah komenannya 😂�?,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_101174280950578,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
'IKEA,'1087167008376909824,21/01/2019 08.56,'social_media,'twitter,'status,'keyword,'ikea,'282571509,'shintadwikusuma,'Shinta Dwi Kusuma Wardani,'Kok nagih ya jalan2 ke IKEA alam sutra~,2,'http://pbs.twimg.com/profile_images/1068750806428528640/vKT0fB6t_normal.jpg,[],'https://twitter.com/statuses/1087167008376909824,'A wife and a mother • “Husnudzon diperbanyak, Istighfar diseringkan, Suudzon dihilangkan. Stay Positive.�?,,,,,[],769,0,0,0,,,,'female,"[""technology"",""automotive"",""health""]",0,,,,'in,'id,,,,,,,,,,
Ridwan Kamil,'1292373864247765_1292850260866792,20/01/2019 10:53,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Konsisten terus GUBERNURKU ulah didanguken jelema2 dungu mah nyinyir wae  sehat terus kang Emil,2,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292373864247765_1292850260866792,,'163237587161404_1292373864247765,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_422606215150109,20/01/2019 8:56,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Lanhut teurussssssss Mantap,2,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_422606215150109,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292108484274303_144454106550845,20/01/2019 19:19,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Lanjut,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292108484274303_144454106550845,,'163237587161404_1292108484274303,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_403718420199817,20/01/2019 8:24,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Lanjut kang emil  ttp no 1,2,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_403718420199817,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_810712359261213,20/01/2019 22:39,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Lanjut pak.. kami mendukung bapak 1000%,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_810712359261213,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292108484274303_365694920677852,20/01/2019 18:03,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Lanjutkan bapak RK    Biarin aja cibiran² akwkwkw Hiburan bgt asli cibiran nya pokoknya #jabarjuara,2,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292108484274303_365694920677852,,'163237587161404_1292108484274303,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292108484274303_139105967097678,20/01/2019 11:46,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Lanjutkan �?,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292108484274303_139105967097678,,'163237587161404_1292108484274303,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1293155694169582_1293164160835402,20/01/2019 20:45,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Lanjutkan Kang �?,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1293155694169582_1293164160835402,,'163237587161404_1293155694169582,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_394364397977992,20/01/2019 13:41,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Lanjutkan kang Emil😀 buktikan dg karya saja,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_394364397977992,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_232296331012135,20/01/2019 10:47,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Lanjutkan kang  saya tetap pilih 02,2, yang telah membersihkan kang emil.  Nuhun,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_232296331012135,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,
Ridwan Kamil,'1292108484274303_110203763408069,20/01/2019 10:17,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Lanjutkan Kang....anu saririk mah lemparin senyuman we....ulah abret2 an teuing bisi nabrak 🤣�?�?�?�?,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292108484274303_110203763408069,,'163237587161404_1292108484274303,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1293155694169582_2170892643224574,20/01/2019 23:54,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Lanjutkan membangun 2 PRIODE Kang emil 2024 RI 1 melanjutkan perjuangan pakde Yakin kunfayakun..Aamiin 😂�?,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1293155694169582_2170892643224574,,'163237587161404_1293155694169582,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_2262152430718143,20/01/2019 10:58,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Lanjutkan pa ke PAS tahun depan 👆,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_2262152430718143,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_1858196194289286,20/01/2019 13:28,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Lanjutkan pak de dua priode ,2,,hayu urang dukung ptahana supados jabar langkung ngabret ngajugjug jabar juara,,01 lanjutkan,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_1858196194289286,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,
Ridwan Kamil,'1293155694169582_307074476587818,20/01/2019 23:26,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Lanjutkan perjuanganmu..,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1293155694169582_307074476587818,,'163237587161404_1293155694169582,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1293155694169582_307066683255264,20/01/2019 23:01,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Lanjutken kang  tah titah gararawe bupati na lain ngitung ngitung untung rugi,2,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1293155694169582_307066683255264,,'163237587161404_1293155694169582,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292108484274303_400490667364435,20/01/2019 0:17,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Lewis Yuton Sudrajat mantap  baru kali ini dikasih HADIAH JALAN TOL hhaha,2,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292108484274303_400490667364435,,'163237587161404_1292108484274303,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,
Ridwan Kamil,'1293155694169582_1293216724163479,20/01/2019 21:51,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Maaf Hibuaran Malam Dulu Pak.... Biar rileks... Sehat Selalu Pak RK #JabarJUARA,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1293155694169582_1293216724163479,,'163237587161404_1293155694169582,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
'IKEA,'1086288944394731522,18/01/2019 22.47,'social_media,'twitter,'status,'keyword,'IKEA,'268294470,'NandiaRD,'Nandia Risma,'Maen prakarya sama ikea ternyata seruuu ya wkwkwk 🤣,2,'http://pbs.twimg.com/profile_images/1081864906742280193/2R4iIree_normal.jpg,[],'https://twitter.com/statuses/1086288944394731522,'make peace with others, but don't forget to make peace with yourself �?�,,,,,[],807,0,0,0,,,'Yogyakarta,'female,"[""game""]",0,'Indonesia,'Yogyakarta,'DI Yogyakarta,'in,'id,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_392535494868167,20/01/2019 12:06,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Maju terus kang Emil,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_392535494868167,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1293155694169582_1293196037498881,20/01/2019 21:26,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Maju terus kang Emil semoga bisa gantiin pak Dhe di 2024 nanti...,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1293155694169582_1293196037498881,,'163237587161404_1293155694169582,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_526250691117218,20/01/2019 21:15,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Maju terus kang Emil! keun nu ngomong negatif mah da bisana ukur nepi kadinya,2,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_526250691117218,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292108484274303_2269671193357448,20/01/2019 0:33,'social_media,'facebook,'comment,'account,'163237587161404,,,,"'maju terus pak bangun indonesia sejahtera berkeadilan.. biarkan anjing anjing menggonggong..ehh punten kasar pa maksudna ""biarkan gogog gogog menggonggong"" teraskan weh bapa di damel..",2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292108484274303_2269671193357448,,'163237587161404_1292108484274303,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292108484274303_1263987497090360,20/01/2019 18:01,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Maju trus Pemprov Jabar dan bekerja sama dgn Pemerintah pusat demi Jabar juara.,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292108484274303_1263987497090360,,'163237587161404_1292108484274303,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
ridwankamil,'1086963241572397056,20/01/2019 19:26,'social_media,'twitter,'status,'account,'80323736,'1027044352168615937,'DiahKumalaDewi8,'Diah Kumala Dewi,'makasih kang @ridwankamil,2,'http://pbs.twimg.com/profile_images/1027045291675926528/hAI47stw_normal.jpg,[],'https://twitter.com/statuses/1086963241572397056,'Jika engkau mencari kesempurnaan maka selamanya engkau tidak akan pernah menemukannya,,,,,"[{""id"":""\\""80323736\\"""",""name"":""\\""ridwankamil\\""""}]",13,0,0,0,,,'Pemalang, Indonesia,'female,[],0,'Indonesia,'Malang,'Jawa Timur,'in,'en,,,,,,,,,,,
ridwankamil,'1086773058143117312,20/01/2019 6:51,'social_media,'twitter,'status,'account,'80323736,'58429311,'widadumaimah,'Widad Umaimah,'Makasih kang @ridwankamil sudah menginspirasi! https://t.co/MgTZAuAnJM,2,'http://pbs.twimg.com/profile_images/1044669426593746944/d-x94ALr_normal.jpg,"[""http://pbs.twimg.com/media/DxT-UwrUYAACVcS.jpg""]",'https://twitter.com/statuses/1086773058143117312,'still learning and growing,'1086571236224729089,'58429311,,,"[{""id"":""\\""80323736\\"""",""name"":""\\""ridwankamil\\""""}]",850,0,2,0,,,'Jakarta,,"[""game""]",2,,,,'in,'en,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_2103146509778572,20/01/2019 11:05,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantab bong,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_2103146509778572,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1293155694169582_1293177247500760,20/01/2019 21:02,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantab kang Emil.. pemimpin Indinesia di masa yad.. insya alloh,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1293155694169582_1293177247500760,,'163237587161404_1293155694169582,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_386668388773960,20/01/2019 8:41,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantab....,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_386668388773960,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292108484274303_2320825821484025,20/01/2019 6:52,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantabbbbbb....,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292108484274303_2320825821484025,,'163237587161404_1292108484274303,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_128553734851099,20/01/2019 19:03,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantabs kang Emil..,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_128553734851099,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292108484274303_302026727120023,20/01/2019 22:49,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantap,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292108484274303_302026727120023,,'163237587161404_1292108484274303,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1293155694169582_1293189770832841,20/01/2019 21:18,'social_media,'facebook,'comment,'account,'163237587161404,,,,'mantap,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1293155694169582_1293189770832841,,'163237587161404_1293155694169582,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292108484274303_2611265195580232,20/01/2019 11:41,'social_media,'facebook,'comment,'account,'163237587161404,,,,'mantap,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292108484274303_2611265195580232,,'163237587161404_1292108484274303,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292108484274303_532358797260861,20/01/2019 10:14,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantap,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292108484274303_532358797260861,,'163237587161404_1292108484274303,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292108484274303_2227199690878100,20/01/2019 3:02,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantap,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292108484274303_2227199690878100,,'163237587161404_1292108484274303,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1290038757814609_1292618930889925,20/01/2019 2:21,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantap,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1290038757814609_1292618930889925,,'163237587161404_1290038757814609,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292108484274303_553923308442318,20/01/2019 1:37,'social_media,'facebook,'comment,'account,'163237587161404,,,,'mantap,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292108484274303_553923308442318,,'163237587161404_1292108484274303,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292108484274303_786374408372303,20/01/2019 1:37,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantap,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292108484274303_786374408372303,,'163237587161404_1292108484274303,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_2003996013002284,20/01/2019 19:15,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantap agust salam �?,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_2003996013002284,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_288408971822305,20/01/2019 21:18,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantap gan,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_288408971822305,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1291680550983763_1293002020851616,20/01/2019 15:33,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantap jarinya...hatemah moal bisa dibobodo �?�?,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1291680550983763_1293002020851616,,'163237587161404_1291680550983763,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_612241542539831,20/01/2019 5:46,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantap kang,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_612241542539831,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292108484274303_234113840800593,20/01/2019 7:15,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantap Kang da seueur urang GaTas uwah uwih ka Bandung,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292108484274303_234113840800593,,'163237587161404_1292108484274303,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_297065344282157,20/01/2019 12:31,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantap kang emil adil dan makmur ✌✌,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_297065344282157,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_783031952089543,20/01/2019 6:02,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantap kang emil dapat salam 2 jari dari orang ciamis 😊✌👆,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_783031952089543,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_175569326739735,20/01/2019 12:52,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantap kang emil tapi pilpres sama no 2 insaalah menang amin,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_175569326739735,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
Ridwan Kamil,'1293155694169582_1128120677362680,20/01/2019 23:50,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantap Kang Emil  Nomor 2 Tetap Pilihan Saya 👆 �?,2,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1293155694169582_1128120677362680,,'163237587161404_1293155694169582,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292114634273688_1076230712578553,20/01/2019 0:51,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantap kang Emil…  tp tetep pilpres mah berbeda sama kang Emil…,2,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292114634273688_1076230712578553,,'163237587161404_1292114634273688,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,
Ridwan Kamil,'1292108484274303_224191021796672,20/01/2019 7:43,'social_media,'facebook,'comment,'account,'163237587161404,,,,'Mantap kang emil....,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1292108484274303_224191021796672,,'163237587161404_1292108484274303,'163237587161404,,,[],0,0,0,0,,,,,[],0,,,,,,,,,,,,,,,,,
