object,original_id,date_created,resource_type,specific_resource_type,specific_type,stream_type,object_content,from_id,from_username,name,content,final_sentiment,from_display_picture,media_link,link,bio,reply_to_original_id,reply_to_user_id,retweet_from_original_id,retweet_from_user_id,mentioned,audience,virality,applause,talk,timezone,location,gender,interest,score,negara,kota,provinsi,lang,userlang,,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068699219031015424,01/12/2018 9:52,'social_media,'twitter,'status,'account,'548904824,'126617519,'sadzalikecil,'Syam'un Salim,'@IndosatCare ini maksudnya apa ya min? Saya mau ambil paket Internet Freedom tapi gagal terus. Padahal ya sudah diukuti semua step stepnya. https://t.co/T7a5y79Fmx,1,'http://pbs.twimg.com/profile_images/1065667382528507904/iaB8KjIj_normal.jpg,"[""http://pbs.twimg.com/media/DtTGFBXU0AEh0m6.jpg""]",'https://twitter.com/statuses/1068699219031015424,'tukang sate yang kebetulan senang dengan wacana pemikiran dan filsafat ~,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",945,0,0,0,,'teras peradaban,'male,"[""culinary"",""education""]",0,,,,'in,'en,,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068700209767567361,01/12/2018 9:56,'social_media,'twitter,'status,'account,'548904824,'999549494,'Rhoceng1,'#TolakPerdaAgama,'@IndosatCare Giliran di komplain ga bales² giliran balas twit orang,1, main samber saja. Emang payah.,1,'http://pbs.twimg.com/profile_images/966104003779035136/cFIZh0nZ_normal.jpg,[],'https://twitter.com/statuses/1068700209767567361,,'1068699789800415233,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",64,0,2,0,,'Kota Kediri, Indonesia,,[],2,'Indonesia,'Kediri,'Jawa Timur,'in,'id,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068701221312061440,01/12/2018 10:00,'social_media,'twitter,'status,'account,'548904824,'53917326,'Syarief_AJ,'Syarief Ahmad Jauhar,'@IndosatCare halooo tolong balas tweet saya dong,1,'http://pbs.twimg.com/profile_images/789544273318293504/Z0ah7MCu_normal.jpg,[],'https://twitter.com/statuses/1068701221312061440,'My blog recently is just for review anime https://t.co/MxjbVOLk5W,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",369,0,0,0,,'Bandung,'male,"[""entertainment""]",0,'Indonesia,'Bandung,'Jawa Barat,'in,'en,,,,,,,,,,,,,,,,,,
IM3 Ooredoo,'10157004792322948_10157007278322948,01/12/2018 10:05,'social_media,'facebook,'comment,'account,'39935792947,,,,'.sinyal indosat maki lemah udah dua hari ini 😈😈,1,'https://graph.facebook.com//picture,[],'https://facebook.com/10157004792322948_10157007278322948,,'39935792947_10157004792322948,'39935792947,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068703116818755584,01/12/2018 10:07,'social_media,'twitter,'status,'account,'548904824,'1020263246408773633,'Adt30681816,'Adt,'@IndosatCare min  mau tanya cara pembayaran tagihan pasca bayar lewat atm gimana ya,1,1,'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,[],'https://twitter.com/statuses/1068703116818755584,,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",0,0,0,0,,,,[],0,,,,'in,'id,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068704455338553345,01/12/2018 10:12,'social_media,'twitter,'status,'account,'548904824,'74682710,'riza_purwandi,'RIZA PURWANDI,'@IndosatCare min kok nomor indosat saya ga bisa ya nomor saya kirim via dm,1,'http://pbs.twimg.com/profile_images/897122971722039297/QaLEvlII_normal.jpg,[],'https://twitter.com/statuses/1068704455338553345,'Programmer | Owner @KAKILIMA16 - JAJAN KAKI LIMA|  | #2019GantiPresiden | ISLAM TIDAK MENGAJARKAN TERORIS | http://sebercakcoretan.blogspot.com,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",407,0,0,0,,'Tangerang Selatan-Pemalang,'male,"[""technology"",""religious"",""politic"",""culinary"",""marketing""]",0,'Indonesia,'Malang,'Jawa Timur,'in,'en,,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068705874347155456,01/12/2018 10:18,'social_media,'twitter,'status,'account,'548904824,'3366029985,'novayydr,'Novi Dwi Lestari,'@IndosatCare ganguan sinyal terus dari kemarin sore. Gimana sih,1,'http://pbs.twimg.com/profile_images/866083750320324608/kVavNajZ_normal.jpg,[],'https://twitter.com/statuses/1068705874347155456,'Hii!!,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",38,0,0,0,,'Jakarta, Indonesia,'female,[],0,,,,'in,'id,,,,,,,,,,,,,,,,,
myXL Care,'1068706278648700928,01/12/2018 10:20,'social_media,'twitter,'status,'account,'480224156,'271301225,'sultongozan,'sugo_collections,'@myXLCare selamat pagiXL not service daerah Majalengka. Tolong di tindak lanjuti.,1,1,'http://pbs.twimg.com/profile_images/576811761443192833/x6ov_H7o_normal.jpeg,[],'https://twitter.com/statuses/1068706278648700928,,,'480224156,,,"[{""id"":""\\""480224156\\"""",""name"":""\\""myXLCare\\""""}]",200,0,0,0,,'Jakarta,,[],0,,,,'in,'id,,,,,,,,,,,,,,,,,
IM3 Ooredoo,'10157002287552948_10157007308142948,01/12/2018 10:22,'social_media,'facebook,'comment,'account,'39935792947,,,,'.indosat makin parah sinyal lemot benah.in woy saver.nya di pati jawa tengah,1,'https://graph.facebook.com//picture,[],'https://facebook.com/10157002287552948_10157007308142948,,'39935792947_10157002287552948,'39935792947,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068707992248320001,01/12/2018 10:26,'social_media,'twitter,'status,'account,'548904824,'1024958078809063424,'nvkntvknr,'Vi,'@IndosatCare min pulsaku ko kepotong terus ya padahal ga dipake apa2.. Udh stop layanan juga masih aja kepotong,1,1,'http://pbs.twimg.com/profile_images/1064147029402640386/T-p16dEW_normal.jpg,[],'https://twitter.com/statuses/1068707992248320001,'https://t.co/PbqPn9IGAX,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",345,0,0,0,,'Bandung, Indonesia,,[],0,'Indonesia,'Bandung,'Jawa Barat,'in,'id,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068708138746970112,01/12/2018 10:27,'social_media,'twitter,'status,'account,'548904824,'1051785544898818048,'brianemanaa,'brianemanaa,'@IndosatCare Halo kak kartuku mentari dg nomor 081567994994 tiba-tiba tidak ada service,1, apakah kartuku hangus kar… https://t.co/qUvE5Vgc9D,1,'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,[],'https://twitter.com/statuses/1068708138746970112,,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",0,0,0,0,,,,[],0,,,,'in,'en,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068710710937436162,01/12/2018 10:37,'social_media,'twitter,'status,'account,'548904824,'54836244,'herjunoo,'Herjunoo Yogi,'@IndosatCare kenapa saya akses myim3 selalu force closed ya. Sudah uninstalled dan instal lagi ttep force closed ?,1,'http://pbs.twimg.com/profile_images/423641652930940928/8IaLgJ5V_normal.jpeg,[],'https://twitter.com/statuses/1068710710937436162,'Full Time Clinical Pharmacist. Perfectly Imperfect,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",1565,0,0,0,,'ï¿½T: -6.889015,107.596042,'male,"[""technology""]",0,,,,'in,'en,,,,,,,,,,,,,,,,,
myXL Care,'1068712235936055297,01/12/2018 10:43,'social_media,'twitter,'status,'account,'480224156,'1064515538271911936,'Iqbaljumhari1,'Iqbal Jumhari,"'@myXLCare  Cara mengaktifkan kartu XL yg hangus gara"" masa tenggang, lupa beli pulsa, gimana ya?",1,'http://pbs.twimg.com/profile_images/1065255889555283968/bWXDGmpJ_normal.jpg,[],'https://twitter.com/statuses/1068712235936055297,'�?Shrimp City Finest,,'480224156,,,"[{""id"":""\\""480224156\\"""",""name"":""\\""myXLCare\\""""}]",5,0,0,0,,'Cirebon Utara, Indonesia,'male,[],0,'Indonesia,'Cirebon,'Jawa Barat,'in,'id,,,,,,,,,,,,,,,,,
IM3 Ooredoo,'1068712569525821441,01/12/2018 10:45,'social_media,'twitter,'status,'account,'61379637,'242290837,'DanielMarthaa,'Daniel Wisnu Martha,'@IM3Ooredoo Cara cek daerah yang udah indosat gigs gimana?,1,'http://pbs.twimg.com/profile_images/670742700631552000/te-Ju5if_normal.jpg,[],'https://twitter.com/statuses/1068712569525821441,'ur life is ur way,'1068369030032039937,'61379637,,,"[{""id"":""\\""61379637\\"""",""name"":""\\""IM3Ooredoo\\""""}]",231,0,0,0,,'Nat,'male,[],0,,,,'in,'id,,,,,,,,,,,,,,,,,,
Smartfren Care,'1068713628109496320,01/12/2018 10:49,'social_media,'twitter,'status,'account,'376601151,'1870243188,'TheniYuliana,'theni yuliana,'@smartfrencare Sudah di DM. Tolong solusi secepatnya,1,'http://pbs.twimg.com/profile_images/378800000476740371/622d6e2b531c2c8900e58b1395ccc92f_normal.jpeg,[],'https://twitter.com/statuses/1068713628109496320,,'1068711781042925569,'376601151,,,"[{""id"":""\\""376601151\\"""",""name"":""\\""smartfrencare\\""""}]",18,0,0,0,,,'female,[],0,,,,'in,'en,,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068714105379278849,01/12/2018 10:51,'social_media,'twitter,'status,'account,'548904824,'3190479774,'AdnaDestha,'Anyesnyess,'@IndosatCare kak mau tanya. Saya semalam beli pulsa tapi kok sampai skrng blm masuk ya? Trus tadi pagi saya jg bel… https://t.co/AYBNXGDyaJ,1,1,'http://pbs.twimg.com/profile_images/1058335193549795328/M7e4fzMg_normal.jpg,[],'https://twitter.com/statuses/1068714105379278849,'Make it easier 😊 ▪Penting? DM.,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",92,0,0,0,,'Ngemplak, Indonesia,,"[""health"",""game""]",0,,,,'in,'en,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068715307944923136,01/12/2018 10:55,'social_media,'twitter,'status,'account,'548904824,'4751611508,'DediTeulih2016,'Dedi,'@IndosatCare Iya tapi ini ngk berhenti dan terus nyambung hingga menggangu aktifitas saya,1,1,'http://pbs.twimg.com/profile_images/921092784093667328/FbrouxF2_normal.jpg,[],'https://twitter.com/statuses/1068715307944923136,'belajar dari pengalaman,'1068713684040585216,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",215,0,0,0,,'Depok, Indonesia,'male,"[""education""]",0,'Indonesia,'Depok,'Jawa Barat,'in,'id,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068716443850596354,01/12/2018 11:00,'social_media,'twitter,'status,'account,'548904824,'1048441474570842112,'Andreas63370770,'Andreas,'@IndosatCare sinyalnya mulai busuk...@kemkominfo,1,'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,[],'https://twitter.com/statuses/1068716443850596354,,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""},{""id"":""\\""177848697\\"""",""name"":""\\""kemkominfo\\""""}]",0,0,0,0,,,'male,[],0,,,,'in,'en,,,,,,,,,,,,,,,,,,
'tri,'1068718094229528577,01/12/2018 11:07,'social_media,'twitter,'status,'keyword,'tri,'802438930620502016,'Hayutari,'A. Hayutari Prakoso,'@reviandhi @nuggetmekdi @fingerstrings @blxndlust @abangwarnet Pantes ya Bimo betah di Bandung gaulnya sama kalian… https://t.co/DEjjVHtdmT,1,1,'http://pbs.twimg.com/profile_images/1068108251357540352/xbOM5NYV_normal.jpg,[],'https://twitter.com/statuses/1068718094229528577,'( #OCRP #MV ) It's Hayutari, a woman who spends her times to stand in front of 32 children. [ ON HIATUS ],'1068716976581730304,'1046315586723049473,,,"[{""id"":""\\""1046315586723049473\\"""",""name"":""\\""reviandhi\\""""},{""id"":""\\""1043903504895496193\\"""",""name"":""\\""nuggetmekdi\\""""},{""id"":""\\""968925843601768448\\"""",""name"":""\\""fingerstrings\\""""},{""id"":""\\""961993868299321344\\"""",""name"":""\\""blxndlust\\""""},{""id"":""\\""3869173698\\"""",""name"":""\\""abangwarnet\\""""}]",147,0,0,0,,'Jakarta Pusat, DKI Jakarta,'male,"[""entertainment"",""art""]",0,'Indonesia,'Jakarta Pusat,'DKI Jakarta,'in,'id,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068719989241204736,01/12/2018 11:14,'social_media,'twitter,'status,'account,'548904824,'1946031817,'JuraganpitekYK,'JURAGAN PITEK �?��?�,'@IndosatCare jaringan mu di SEYEGAN SLEMAN sangat buruk!!! ayo di perbaiki,1,'http://pbs.twimg.com/profile_images/1021655730640703494/wtUjqp5X_normal.jpg,[],'https://twitter.com/statuses/1068719989241204736,'.,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",5,0,0,0,,'Indonesia,,[],0,,,,'in,'id,,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068721481629097984,01/12/2018 11:20,'social_media,'twitter,'status,'account,'548904824,'138750457,'danangtiyon,'Danang Satriyono,'@ifazulfa_ @IndosatCare @Telkomsel Ah iya mas tolong apa yang dialamin teman saya ini @ifazulfa_ dengan… https://t.co/NGwDuSwf66,1,'http://pbs.twimg.com/profile_images/560060994966126593/VhSfriz7_normal.png,[],'https://twitter.com/statuses/1068721481629097984,'Good Conversations & Good Friendship. You will get it all here. Follow and I'll follback :),'1068515603164483584,'138750457,,,"[{""id"":""\\""1182735313\\"""",""name"":""\\""ifazulfa_\\""""},{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""},{""id"":""\\""255409050\\"""",""name"":""\\""Telkomsel\\""""},{""id"":""\\""1182735313\\"""",""name"":""\\""ifazulfa_\\""""}]",192,0,0,0,,'Kota Malang, Jawa Timur,'male,[],0,'Indonesia,'Malang,'Jawa Timur,'in,'en,,,,,,,,,,,,,,,,,
myXL Care,'1068721625162407937,01/12/2018 11:21,'social_media,'twitter,'status,'account,'480224156,'2999378700,'purpleholic8,'purpleholic8,'@myXLCare check dm plis..urgent,1,'http://pbs.twimg.com/profile_images/642524461065879552/HCXDsGSB_normal.jpg,[],'https://twitter.com/statuses/1068721625162407937,'Life is a struggle, there is no life without a struggle,,'480224156,,,"[{""id"":""\\""480224156\\"""",""name"":""\\""myXLCare\\""""}]",363,0,0,0,,,,[],0,,,,'en,'en,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068723090329296896,01/12/2018 11:26,'social_media,'twitter,'status,'account,'548904824,'1361642485,'IzzMe_Lee,'IzzMe,'@IndosatCare Sdh di off dan jaringan sdh 3G tp gak bisa jg..ok saya DM ya min nomernya,1,'http://pbs.twimg.com/profile_images/1036317266176962560/pZMrFX60_normal.jpg,[],'https://twitter.com/statuses/1068723090329296896,'Cute girl..Smart & Simple -),'1068718995401048064,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",25,0,0,0,,'Indonesia,,"[""art"",""education""]",0,,,,'in,'en,,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068723912941293571,01/12/2018 11:30,'social_media,'twitter,'status,'account,'548904824,'62020052,'nayoan__,'Nayoan Kurnia Nuswantari,'@IndosatCare gimana bisa baru isi pulsa udah langsung jadi Rp 0 begitu aja padahal ga ada melakukan panggilan ataupun sms -_-,1,'http://pbs.twimg.com/profile_images/1064307036706361344/U_ch4xVI_normal.jpg,[],'https://twitter.com/statuses/1068723912941293571,'Spring Awakening,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",487,0,0,0,,,'male,"[""marketing""]",0,,,,'in,'en,,,,,,,,,,,,,,,,,,
IM3 Ooredoo,'1068724436398788608,01/12/2018 11:32,'social_media,'twitter,'status,'account,'61379637,'3957674652,'sangatrindu,'Chloé,'@IM3Ooredoo cara liat nomer hp kita gimana sih? Saya dial *123# dll lewat myim3 juga gabisa. Telpon lewat nomer juga gabisa katanya untuk sementara tidal dapat menggunakan layanan. Bantu plis,1,'http://pbs.twimg.com/profile_images/998873907426869249/3DVWI_Zk_normal.jpg,[],'https://twitter.com/statuses/1068724436398788608,'CA bukan RP, udah jelas dari usernamenya kan.,,'61379637,,,"[{""id"":""\\""61379637\\"""",""name"":""\\""IM3Ooredoo\\""""}]",50,0,0,0,,'Earth,,[],0,,,,'in,'en,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068724646265016320,01/12/2018 11:33,'social_media,'twitter,'status,'account,'548904824,'1002174226940420097,'so_aldebaran,'pewa,'@IndosatCare tapi itu ga sampe 5 detik muncul terus. Ganggu saya lagi main game,1,'http://pbs.twimg.com/profile_images/1068177965895188480/i7qN9ZZP_normal.jpg,[],'https://twitter.com/statuses/1068724646265016320,'not a Tinkerbell,'1068724379645808640,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",11,0,0,0,,,,[],0,,,,'in,'id,,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068726605281783809,01/12/2018 11:40,'social_media,'twitter,'status,'account,'548904824,'1014699884631416833,'fav0ritz,'al,'@IndosatCare kak kmren beli voucher kuota tapi pas diinput ga bisa2 trus. Kenapa ya?,1,1,'http://pbs.twimg.com/profile_images/1068666806074728449/CEH6sViC_normal.jpg,[],'https://twitter.com/statuses/1068726605281783809,'cie yang lagi baca dalem ati,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",921,0,0,0,,'( ca / pa ),,"[""book""]",0,,,,'in,'en,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068727886268456960,01/12/2018 11:45,'social_media,'twitter,'status,'account,'548904824,'90225237,'boliiih,'Bë Trüst,'@IndosatCare @mirzahadi88 Min kok keluhan sy ga titanggapi ?,1,'http://pbs.twimg.com/profile_images/831684603282812930/G7b5Vs8X_normal.jpg,[],'https://twitter.com/statuses/1068727886268456960,,'1068727176604893184,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""},{""id"":""\\""1703514390\\"""",""name"":""\\""mirzahadi88\\""""}]",155,0,0,0,,,,[],0,,,,'in,'en,,,,,,,,,,,,,,,,,,
IM3 Ooredoo,'10157002329662948_10157007458087948,01/12/2018 11:52,'social_media,'facebook,'comment,'account,'39935792947,,,,'Setiap Konsumen Komplen jawabannya itu terus g ada solusi,1,, Suruh DM udah d DM g ada kabar, Terus maunya kita d suruh ngapain supaya cepat d tanggapi dengan serius, Kalo gini mending pake Provider T-Sel walaupun sedikit lebih mahal tp terjamin kualitasnya, 😊😊,1,'https://graph.facebook.com//picture,[],'https://facebook.com/10157002329662948_10157007458087948,,'39935792947_10157002329662948,'39935792947,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068729853367640066,01/12/2018 11:53,'social_media,'twitter,'status,'account,'548904824,'108482317,'nallend17,'Dhanar,'@IndosatCare gak bisa akses internet pake indosat. Gimana ni,1,'http://pbs.twimg.com/profile_images/378800000370187571/18ad7c4432bc765bf5c86ae57d3df1c1_normal.jpeg,[],'https://twitter.com/statuses/1068729853367640066,'I'm Gooners till I die,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",242,0,0,0,,'Jakarta, Indonesia,,"[""sports""]",0,,,,'in,'id,,,,,,,,,,,,,,,,,
myXL Care,'1068729910036848640,01/12/2018 11:54,'social_media,'twitter,'status,'account,'480224156,'1655597730,'majingki948,'R i R i,'@myXLCare sudah ka tolong cek,1,'http://pbs.twimg.com/profile_images/1002273036169396224/kXgp6zXy_normal.jpg,[],'https://twitter.com/statuses/1068729910036848640,'Fan account | prev @syainirima. off,'1068709678039748613,'480224156,,,"[{""id"":""\\""480224156\\"""",""name"":""\\""myXLCare\\""""}]",41,0,0,0,,'SHINee World,,"[""technology"",""economy"",""marketing""]",0,,,,'in,'en,,,,,,,,,,,,,,,,,,
IM3 Ooredoo,'10157000046182948_10157007464502948,01/12/2018 11:57,'social_media,'facebook,'comment,'account,'39935792947,,,,'Gimana gak ada respon lagi saya DM,1,'https://graph.facebook.com//picture,[],'https://facebook.com/10157000046182948_10157007464502948,,'39935792947_10157000046182948,'39935792947,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,,,,,,,,,,
myXL Care,'1068731155422175233,01/12/2018 11:58,'social_media,'twitter,'status,'account,'480224156,'176655503,'GhinaEkaFithri,'Ghina,'@myXLCare Terus? Udah nih keluhan saya ga ditindak lanjuti? Udah DM udah dibalas pertanyaannya kemudian ilang gitu aja,1,'http://pbs.twimg.com/profile_images/800663751703703552/QfVY37Rf_normal.jpg,[],'https://twitter.com/statuses/1068731155422175233,,'1068719128104452096,'480224156,,,"[{""id"":""\\""480224156\\"""",""name"":""\\""myXLCare\\""""}]",437,0,0,0,,'Jakarta, Indonesia,,[],0,,,,'in,'en,,,,,,,,,,,,,,,,,
IM3 Ooredoo,'10157005560462948_10157007470887948,01/12/2018 12:02,'social_media,'facebook,'comment,'account,'39935792947,,,,'sama kejadiannya kaya gua tadi malem pulsa ludes di dm juga gaada itikad balikkin pulsa,1,'https://graph.facebook.com//picture,[],'https://facebook.com/10157005560462948_10157007470887948,,'39935792947_10157005560462948,'39935792947,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068732669716922368,01/12/2018 12:04,'social_media,'twitter,'status,'account,'548904824,'122414432,'hansjuwiantho,'hans juwiantho,'@IndosatCare paketan saya freedom combo xxl 65GB kenapa baru 20GB sudah kena limit speed 30KB ya ?,1,1,'http://pbs.twimg.com/profile_images/3523870536/96bac01d3abe56a5294d6940d3db6da6_normal.jpeg,[],'https://twitter.com/statuses/1068732669716922368,,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",116,1,0,0,,'Surabaya,'male,[],1,'Indonesia,'Surabaya,'Jawa Timur,'in,'id,,,,,,,,,,,,,,,,,
3 Indonesia,'10156372730783558_10156390093218558,01/12/2018 12:10,'social_media,'facebook,'comment,'account,'28724388557,,,,'ADMIN LU KERJA RESPON CUSTOMER JANGAN CUMA BISA COPAS LAH NIAT KERJA GAK?? DIKIT DIKIT HAI KAK HAI KAK HAI KAK ASUUUU LU !! SEMUA YANG BACA JENGKEL LIAT NYA TAU GAK PUNYA MALU GAK BGSAD? CUKUP 1 KELARIN MASALAH JARINGAN SAMPAH LU ITU KELAR UDAH!!! JARINGAN SAMPAH MASIH PROMO2 AJA TAIIKKKK,1,1,'https://graph.facebook.com//picture,[],'https://facebook.com/10156372730783558_10156390093218558,,'28724388557_10156372730783558,'28724388557,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,,,,,,,,,
Smartfren Care,'1068734192379408390,01/12/2018 12:11,'social_media,'twitter,'status,'account,'376601151,'235164669,'yogipratama17,'Yogi Pratama 17,'@smartfrencare min ini udah berapa kali lho ... koneksi internet saya selalu tidak stabil ... udah sy dm .. tapi bilangnya udah di benahin .. tau2nya masih aja koneksi internetnya  nya kaya gini ..,1,'http://pbs.twimg.com/profile_images/962873596153536513/8WwwSNGp_normal.jpg,[],'https://twitter.com/statuses/1068734192379408390,'Moeslem. Radio Dalam , JakSel,,'376601151,,,"[{""id"":""\\""376601151\\"""",""name"":""\\""smartfrencare\\""""}]",1112,0,0,0,,'Jakarta Selatan, DKI Jakarta,'male,[],0,'Indonesia,'Jakarta Selatan,'DKI Jakarta,'in,'id,,,,,,,,,,,,,,,,
3 Indonesia,'10156388472658558_10156390106938558,01/12/2018 12:20,'social_media,'facebook,'comment,'account,'28724388557,,,,'Admin kenapa saya registrasi gagl terus pesan error nomor nik anda tidak terdaftar. Padahal daftar kartu telkomsel bisa,1,'https://graph.facebook.com//picture,[],'https://facebook.com/10156388472658558_10156390106938558,,'28724388557_10156388472658558,'28724388557,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,,,,,,,,,,
AXIS,'1068737166228869121,01/12/2018 12:22,'social_media,'twitter,'status,'account,'47251716,'621945820,'deyanfajar,'Deyan fajar,'@ask_AXIS knpa axis saya cuman mentok di jaringan 2G doang min? Kalo di pindah ke 3G/4G hanya panglian darurat saja?,1,'http://pbs.twimg.com/profile_images/775946092407955456/PnVkvoIH_normal.jpg,[],'https://twitter.com/statuses/1068737166228869121,,,'47251716,,,"[{""id"":""\\""47251716\\"""",""name"":""\\""ask_AXIS\\""""}]",154,0,0,0,,'Route 66,'male,[],0,,,,'in,'en,,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068737763640373249,01/12/2018 12:25,'social_media,'twitter,'status,'account,'548904824,'492039552,'DikNyot,'AHeadFullOfDream,'@IndosatCare jaringannya knp ini,1, lemot parah woii... Kagak jalan buat yutupp 360p....,1,'http://pbs.twimg.com/profile_images/987324170768797697/_Bzh4GME_normal.jpg,[],'https://twitter.com/statuses/1068737763640373249,'SD N 1/2 Gemulung || SMP N 2 Kalinyamatan || SMA N 1 Mayong || IAIN Kudus || Sunset || nJowo,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",134,0,0,0,,'Jepara, Indonesia,,"[""technology"",""education""]",0,'Indonesia,'Jepara,'Jawa Tengah,'in,'id,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068740120029753345,01/12/2018 12:34,'social_media,'twitter,'status,'account,'548904824,'1094169541,'WulandariAjeng_,'Ajeng D Wulandari,'@IndosatCare saya registrasi ulang tidak bisa tidak ada balasan dari 4444,1,1,'http://pbs.twimg.com/profile_images/1052394634217832449/aU-Maf1K_normal.jpg,[],'https://twitter.com/statuses/1068740120029753345,'English Education | State University of Surabaya | The Pursuit of Happiness,'1068645519856148485,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",152,0,0,0,,'East Borneo - Surabaya,'female,"[""automotive"",""pets"",""education""]",0,'Indonesia,'Surabaya,'Jawa Timur,'in,'en,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068740354554257408,01/12/2018 12:35,'social_media,'twitter,'status,'account,'548904824,'719851802427068416,'a_indhie,'Indhie 🇮🇩,'@pejuangind02 @IndosatCare @CCICPolri @bareskrim2018 @DivHumas_Polri @IndosatCare DM saya belum dibalas hingga skrng soal pembatasan kecepatan,1,'http://pbs.twimg.com/profile_images/883981221851578368/taqRrTog_normal.jpg,[],'https://twitter.com/statuses/1068740354554257408,'BUGIEZT BONE,'1068395866359119872,'592288246,,,"[{""id"":""\\""592288246\\"""",""name"":""\\""pejuangind02\\""""},{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""},{""id"":""\\""735358344106549248\\"""",""name"":""\\""CCICPolri\\""""},{""id"":""\\""1031863546164834304\\"""",""name"":""\\""bareskrim2018\\""""},{""id"":""\\""138290629\\"""",""name"":""\\""DivHumas_Polri\\""""},{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",39,0,0,0,,'NKRI,,[],0,,,,'in,'id,,,,,,,,,,,,,,,,,,
